x,Probability
-350.0,3.145476091302523e-5
-349.6,0.00047380964378352123
-349.20000000000005,0.0014063790031969576
-348.8,0.0019325272764761483
-348.4,0.0026979862954647667
-348.0,0.0034893919453880757
-347.6,0.003618857469795548
-347.20000000000005,0.0034458967086122877
-346.79999999999995,0.0026726006280501386
-346.4,0.001465510367187812
-346.0,0.0006474891106742846
-345.59999999999997,0.00016053713155980513
-345.2,0.0002290286413673094
-344.79999999999995,0.0012218444028736512
-344.4,0.00244059744079872
-344.0,0.0032604720466531847
-343.6,0.0029566061515609167
-343.20000000000005,0.002489623409984113
-342.8,0.0014854739332007688
-342.4,0.0003348451528132513
-342.0,0.0004882066822349747
-341.6,0.0015271315252649337
-341.20000000000005,0.003969338470221724
-340.8,0.004799659054346241
-340.4,0.0041224488522633666
-340.0,0.0034395298954890724
-339.6,0.0017326593136733509
-339.2,6.248321708193717e-5
-338.79999999999995,0.00043796124752515126
-338.4,0.0017780817428342558
-338.0,0.00364249868253895
-337.6,0.004878219649097635
-337.20000000000005,0.004037300450433894
-336.79999999999995,0.0018549477272283726
-336.4,0.0005524903748388421
-336.0,0.0007311861365283527
-335.6,0.002305261837938101
-335.20000000000005,0.004195022204804213
-334.8,0.003916407646044716
-334.4,0.002490280282356428
-334.0,0.0010552800666025128
-333.6,0.0011215952467800595
-333.2,0.002488008530349444
-332.79999999999995,0.002566993984530303
-332.4,0.002060837694764183
-332.0,0.0007766203154460717
-331.6,0.00043892846121811567
-331.2,0.002763511343069606
-330.79999999999995,0.00606662424875028
-330.4,0.0066931423925817475
-330.0,0.003933751908411406
-329.6,0.0009532971886785925
-329.20000000000005,0.00011575408151250058
-328.8,0.0028043881042396435
-328.40000000000003,0.005944962203363446
-328.0,0.006338032590636686
-327.6,0.003756894209193339
-327.20000000000005,0.0005507721061391922
-326.79999999999995,0.00030557906688857394
-326.4,0.0027362567438317478
-326.0,0.004826567442637467
-325.6,0.0034527917638526784
-325.2,0.001257214759665411
-324.79999999999995,5.424886488773402e-5
-324.4,0.001115997074782926
-324.0,0.0029669991497349186
-323.6,0.003028257048861314
-323.20000000000005,0.002298809290891053
-322.8,0.000690865395480923
-322.4,4.0373446360944637e-7
-322.0,0.00014667996290356887
-321.6,0.0004075773438193484
-321.20000000000005,0.00035108145597451416
