a_t,t
8.977820506298942e-5,0.05
0.00017933028238479746,0.1
0.0002684401944716559,0.15000000000000002
0.00035690854268975627,0.2
0.00044455674635885875,0.25000000000000006
0.0005312285811604152,0.3
0.0006167896949527079,0.35000000000000003
0.0007011260144811624,0.4
0.0007841416751227816,0.45000000000000007
0.0008657568449366827,0.5
0.0009459056384774056,0.55
0.0010245342108944947,0.6000000000000001
0.0011015990643047874,0.65
0.0011770655676040082,0.7000000000000002
0.0012509066758715293,0.7500000000000001
0.0013231018292344924,0.8000000000000002
0.0013936360094169787,0.8500000000000001
0.001462498932916399,0.9000000000000001
0.001529684361543954,0.9500000000000001
0.001595189513261106,1.0000000000000002
0.0016590145584701773,1.05
0.0017211621890086768,1.1
0.0017816372489726797,1.1500000000000001
0.0018404464181355647,1.2000000000000002
0.0018975979401437432,1.25
0.0019531013888746942,1.3000000000000003
0.002006967467365184,1.3500000000000003
0.0020592078345781665,1.4000000000000001
0.0021098349560025728,1.4500000000000002
0.00215886197469129,1.5000000000000002
0.0022063025998534987,1.5500000000000003
0.0022521710105521168,1.6000000000000003
0.0022964817724184933,1.6500000000000004
0.00233924976560326,1.7000000000000002
0.0023804901224421388,1.7500000000000002
0.002420218173532808,1.8000000000000003
0.0024584494011047064,1.85
0.002495199398721779,1.9000000000000004
0.0025304838364899793,1.9500000000000004
0.002564318431057407,2.0000000000000004
0.0025967189197895744,2.05
0.0026277010385877776,2.1
0.002657280502887842,2.15
0.0026854729914380796,2.2
0.0027122941325078646,2.2500000000000004
0.0027377594922236106,2.3000000000000007
0.0027618845647665513,2.35
0.002784684764202374,2.4
0.0028061754177396026,2.45
0.0028263717602413758,2.5
0.002845288929834505,2.5500000000000007
0.0028629419644804702,2.6000000000000005
0.002879345799389711,2.6500000000000004
0.0028945152651733085,2.7
0.0029084650866404455,2.7500000000000004
0.002921209882160678,2.8000000000000003
0.0029327641635183282,2.8500000000000005
0.0029431423361971037,2.9
0.002952358700038282,2.95
0.002960427450223276,3.0
0.0029673626785373768,3.0500000000000007
0.0029731783748753204,3.1000000000000005
0.0029778884289556294,3.150000000000001
0.002981506632212181,3.2
0.0029840466798372388,3.2500000000000004
0.002985522172951627,3.3000000000000003
0.0029859466208812784,3.3500000000000005
0.0029853334435213227,3.4000000000000004
0.002983695973770845,3.4500000000000006
0.0029810474600246066,3.5
0.002977401068707271,3.5500000000000003
0.0029727698868400048,3.6
0.002967166924628076,3.6500000000000004
0.0029606051180609775,3.7
0.002953097331516984,3.750000000000001
0.0029446563603643017,3.8000000000000003
0.0029352949335536655,3.8500000000000005
0.0029250257161955147,3.9000000000000004
0.0029138613121175282,3.9500000000000006
0.0029018142663978547,4.0
0.0028888970678698795,4.05
0.0028751221515956617,4.1000000000000005
0.0028605019013039712,4.15
0.0028450486517913195,4.2
0.0028287746912824124,4.25
0.00281169226374894,4.300000000000001
0.0027938135711839326,4.3500000000000005
0.0027751507758301862,4.400000000000001
0.002755716002362088,4.450000000000001
0.002735521340017784,4.5
0.002714578844682361,4.550000000000001
0.0026929005409197203,4.6000000000000005
0.0026704984239527287,4.65
0.0026473844615908446,4.7
0.002623570596104103,4.75
0.002599068746043516,4.800000000000001
0.00257389080800633,4.8500000000000005
0.0025480486583466964,4.9
0.002521554154830505,4.95
0.0024944191382342013,5.000000000000001
0.0024666554338876427,5.050000000000001
0.0024382748531599505,5.1000000000000005
0.0024092891948886697,5.15
0.0023797102467516926,5.2
0.0023495497865819986,5.250000000000001
0.0023188195836245764,5.300000000000001
0.002287531399735962,5.3500000000000005
0.0022556969905254453,5.4
0.002223328106438647,5.450000000000001
0.0021904364937831516,5.500000000000001
0.002157033895695306,5.550000000000001
0.002123132053049391,5.6000000000000005
0.0020887427053078093,5.65
0.0020538775913135536,5.7
0.002018548450023668,5.75
0.001982767021184208,5.8
0.0019465450459471379,5.8500000000000005
0.0019098942674280902,5.9
0.0018728264312058722,5.95
0.0018353532857636112,6.0
0.0017974865828706424,6.050000000000002
0.0017592380779066887,6.100000000000001
0.0017206195301269394,6.150000000000001
0.0016816427028689483,6.200000000000001
0.0016423193637008868,6.250000000000001
0.0016026612845117102,6.300000000000001
0.0015626802415426625,6.3500000000000005
0.0015223880153607868,6.4
0.0014817963907742978,6.450000000000001
0.0014409171566896564,6.500000000000001
0.0013997621059110112,6.550000000000001
0.0013583430348816413,6.6000000000000005
0.001316671743367665,6.650000000000001
0.0012747600340843846,6.700000000000001
0.0012326197122651539,6.750000000000001
0.0011902625851729388,6.8
0.0011477004615550626,6.8500000000000005
0.0011049451510409228,6.9
0.0010620084634833603,6.95
0.001018902208243439,7.0
0.0009756381934192271,7.050000000000001
0.0009322282250187356,7.1000000000000005
0.0008886841060773799,7.15
0.0008450176357198304,7.2
0.0008012406081675433,7.250000000000001
0.0007573648116912682,7.300000000000001
0.0007134020275093301,7.35
0.0006693640286323252,7.400000000000001
0.0006252625786542598,7.450000000000001
0.0005811094304905123,7.500000000000001
0.0005369163250636612,7.550000000000001
0.0004926949899365758,7.600000000000001
0.00044845713789457096,7.650000000000001
0.0004042144654759309,7.700000000000001
0.0003599786514521493,7.750000000000001
0.0003157613552581259,7.800000000000002
0.0002715742153727664,7.850000000000001
0.0002274288476509497,7.900000000000001
0.00018333684360715956,7.95
0.0001393097686518188,8.000000000000002
9.535916028032855e-5,8.05
5.149652621622338e-5,8.100000000000001
7.73334250897019e-6,8.150000000000002
-3.5918948413123126e-5,8.200000000000001
-7.944893973376569e-5,8.25
-0.00012284526228299107,8.3
-0.00016609658661304952,8.35
